-1.000000000000000000e+01 -2.902285418182268373e+01
-9.900000000000000355e+00 -2.872624260669847729e+01
-9.800000000000000711e+00 -2.842960553172558136e+01
-9.700000000000001066e+00 -2.813294243696485353e+01
-9.600000000000001421e+00 -2.783625278684942828e+01
-9.500000000000001776e+00 -2.753953602951915514e+01
-9.400000000000002132e+00 -2.724279159612209256e+01
-9.300000000000002487e+00 -2.694601890008138767e+01
-9.200000000000002842e+00 -2.664921733632586509e+01
-9.100000000000003197e+00 -2.635238628048245246e+01
-9.000000000000003553e+00 -2.605552508802872325e+01
-8.900000000000003908e+00 -2.575863309340342155e+01
-8.800000000000004263e+00 -2.546170960907306480e+01
-8.700000000000004619e+00 -2.516475392455244275e+01
-8.600000000000004974e+00 -2.486776530537682106e+01
-8.500000000000005329e+00 -2.457074299202348300e+01
-8.400000000000005684e+00 -2.427368619878030742e+01
-8.300000000000006040e+00 -2.397659411255878226e+01
-8.200000000000006395e+00 -2.367946589164890980e+01
-8.100000000000006750e+00 -2.338230066441329313e+01
-8.000000000000007105e+00 -2.308509752791758274e+01
-7.900000000000007461e+00 -2.278785554649439504e+01
-7.800000000000007816e+00 -2.249057375023756933e+01
-7.700000000000008171e+00 -2.219325113342384270e+01
-7.600000000000008527e+00 -2.189588665285839042e+01
-7.500000000000008882e+00 -2.159847922614108739e+01
-7.400000000000009237e+00 -2.130102772984989556e+01
-7.300000000000009592e+00 -2.100353099763773557e+01
-7.200000000000009948e+00 -2.070598781823908396e+01
-7.100000000000010303e+00 -2.040839693338256922e+01
-7.000000000000010658e+00 -2.011075703560531736e+01
-6.900000000000011013e+00 -1.981306676596538452e+01
-6.800000000000011369e+00 -1.951532471164771820e+01
-6.700000000000011724e+00 -1.921752940345989558e+01
-6.600000000000012079e+00 -1.891967931321335428e+01
-6.500000000000012434e+00 -1.862177285098631785e+01
-6.400000000000012790e+00 -1.832380836226488086e+01
-6.300000000000013145e+00 -1.802578412495930849e+01
-6.200000000000013500e+00 -1.772769834629352559e+01
-6.100000000000013856e+00 -1.742954915956727291e+01
-6.000000000000014211e+00 -1.713133462079250080e+01
-5.900000000000014566e+00 -1.683305270520878949e+01
-5.800000000000014921e+00 -1.653470130368709334e+01
-5.700000000000015277e+00 -1.623627821903759383e+01
-5.600000000000015632e+00 -1.593778116224677888e+01
-5.500000000000015987e+00 -1.563920774868159036e+01
-5.400000000000016342e+00 -1.534055549431680809e+01
-5.300000000000016698e+00 -1.504182181206672198e+01
-5.200000000000017053e+00 -1.474300400833715052e+01
-5.100000000000017408e+00 -1.444409927996159659e+01
-5.000000000000017764e+00 -1.414510471175168860e+01
-4.900000000000018119e+00 -1.384601727498230517e+01
-4.800000000000018474e+00 -1.354683382725617236e+01
-4.700000000000018829e+00 -1.324755111436231658e+01
-4.600000000000019185e+00 -1.294816577497455157e+01
-4.500000000000019540e+00 -1.264867434935266033e+01
-4.400000000000019895e+00 -1.234907329364029316e+01
-4.300000000000020250e+00 -1.204935900194180398e+01
-4.200000000000020606e+00 -1.174952783916252486e+01
-4.100000000000020961e+00 -1.144957618869067772e+01
-4.000000000000021316e+00 -1.114950052049218066e+01
-3.900000000000021672e+00 -1.084929748722908727e+01
-3.800000000000022027e+00 -1.054896405880211852e+01
-3.700000000000022382e+00 -1.024849770953992234e+01
-3.600000000000022737e+00 -9.947896677506706808e+00
-3.500000000000023093e+00 -9.647160322624808160e+00
-3.400000000000023448e+00 -9.346289620285821442e+00
-3.300000000000023803e+00 -9.045287840947187519e+00
-3.200000000000024158e+00 -8.744161485436647396e+00
-3.100000000000024514e+00 -8.442921572527742669e+00
-3.000000000000024869e+00 -8.141585412951110712e+00
-2.900000000000025224e+00 -7.840179056800892887e+00
-2.800000000000025580e+00 -7.538740675403158065e+00
-2.700000000000025935e+00 -7.237325242235392864e+00
-2.600000000000026290e+00 -6.936011020243098457e+00
-2.500000000000026645e+00 -6.634908554500582589e+00
-2.400000000000027001e+00 -6.334173112890123747e+00
-2.300000000000027356e+00 -6.034021794803557270e+00
-2.200000000000027711e+00 -5.734756764115577887e+00
-2.100000000000028066e+00 -5.436796059362586142e+00
-2.000000000000028422e+00 -5.140712755456357641e+00
-1.900000000000028777e+00 -4.847281085225175090e+00
-1.800000000000029132e+00 -4.557523263433447269e+00
-1.700000000000029488e+00 -4.272742100916575581e+00
-1.600000000000029843e+00 -3.994512965966334317e+00
-1.500000000000030198e+00 -3.724600852411870999e+00
-1.400000000000030553e+00 -3.464779145240882041e+00
-1.300000000000030909e+00 -3.216570944274530053e+00
-1.200000000000031264e+00 -2.980999293266703543e+00
-1.100000000000031619e+00 -2.758462161095671217e+00
-1.000000000000031974e+00 -2.548788585177192090e+00
-9.000000000000323297e-01 -2.351421303130170948e+00
-8.000000000000326850e-01 -2.165612526648189373e+00
-7.000000000000330402e-01 -1.990554188013292203e+00
-6.000000000000333955e-01 -1.825434015078552408e+00
-5.000000000000337508e-01 -1.669449258459061225e+00
-4.000000000000341061e-01 -1.521810312552052125e+00
-3.000000000000344613e-01 -1.381749515905121628e+00
-2.000000000000348166e-01 -1.248535927045441918e+00
-1.000000000000351719e-01 -1.121490946672685673e+00
-3.552713678800500929e-14 -1.000000000000042411e+00
9.999999999996411759e-02 -8.835181317340609075e-01
1.999999999999637623e-01 -7.715697459620970422e-01
2.999999999999634070e-01 -6.637439955052139018e-01
3.999999999999630518e-01 -5.596876204680830691e-01
4.999999999999626965e-01 -4.590967760229609507e-01
5.999999999999623412e-01 -3.617089363184302075e-01
